,Prior Pi (ann.),Posterior mu (ann.),Market weight,BL weight
ONGC,0.022068,0.01993,0.114096,0.107008
HINDALCO,0.048815,0.046092,0.087699,0.080824
JSWSTEEL,0.051084,0.05085,0.119194,0.118233
VEDL,0.109401,0.096559,0.03908,0.030042
SUNPHARMA,0.027795,0.028208,0.173184,0.171788
SHREECEM,0.036327,0.037328,0.033393,0.039292
NESTLEIND,0.035645,0.036475,0.107287,0.106421
BRITANNIA,0.027144,0.028585,0.050289,0.056052
HINDUNILVR,0.043603,0.044269,0.180005,0.178553
ASIANPAINT,0.038168,0.040923,0.095772,0.111788
