,beta,t_stat,r_squared
ONGC.NS,0.12005635918951729,6.970172292555397,0.021396837433645954
HINDALCO.NS,0.12341165815279012,6.5815535488567125,0.01912176090139761
JSWSTEEL.NS,0.09666176635053692,5.769086481362566,0.014757513044492576
VEDL.NS,0.13475950158286218,5.73393009041844,0.014580813218460165
SUNPHARMA.NS,0.05683328045937906,4.194949601645827,0.007857483926297149
SHREECEM.NS,-0.007404780310646299,-0.5364418800474654,0.0001294926312278566
NESTLEIND.NS,-0.002109956030261055,-0.18767411143034132,1.5851041315961822e-05
BRITANNIA.NS,-0.018912662891089387,-1.6088022989293418,0.00116347141681028
HINDUNILVR.NS,-0.005159056533593933,-0.452620574681505,9.219014313965879e-05
ASIANPAINT.NS,-0.04348909268275963,-3.4993362480979076,0.005480756244767737
